played_at,track_name,artist_name,album,release_date,duration_ms,track_id,track_uri
2025-06-09T18:08:43.074Z,MONTAGEM LADRAO,ATLXS,MONTAGEM LADRAO,2025-02-05,75240,48WnIIBbnttcwUQ77MBoMI,spotify:track:48WnIIBbnttcwUQ77MBoMI
2025-06-09T18:08:42.227Z,watch,Billie Eilish,dont smile at me,2017-12-22,177523,7eB1V5LvAdxCc7brfGhRRo,spotify:track:7eB1V5LvAdxCc7brfGhRRo
2025-06-09T15:10:25.372Z,FUNK UNIVERSO 2,Irokz,FUNK UNIVERSO 2,2024-10-25,127058,5a6RCqMaNpExBHNLzFqJff,spotify:track:5a6RCqMaNpExBHNLzFqJff
2025-06-09T15:08:31.501Z,8,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,173201,6X29iaaazwho3ab7GNue5r,spotify:track:6X29iaaazwho3ab7GNue5r
2025-06-09T15:00:40.586Z,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,194087,2Fxmhks0bxGSBdJ92vM42m,spotify:track:2Fxmhks0bxGSBdJ92vM42m
2025-06-09T14:56:46.980Z,Bloody Mary,Lady Gaga,Born This Way (International Special Edition Version),2011-05-23,244760,53jnnqFSRGMDB9ADrNriCA,spotify:track:53jnnqFSRGMDB9ADrNriCA
2025-06-09T14:52:55.396Z,Shameless,Camila Cabello,Romance,2019-12-06,219742,2ogKhhoMClkFXek7ZgxAhN,spotify:track:2ogKhhoMClkFXek7ZgxAhN
2025-06-09T14:48:35.294Z,i love you,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,291796,6CcJMwBtXByIz4zQLzFkKc,spotify:track:6CcJMwBtXByIz4zQLzFkKc
2025-06-09T14:44:56.547Z,No Time To Die,Billie Eilish,No Time To Die,2020-02-13,242265,73SpzrcaHk0RQPFP73vqVR,spotify:track:73SpzrcaHk0RQPFP73vqVR
2025-06-09T14:39:40.256Z,BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,210373,6dOtVTDdiauQNBQEDOtlAB,spotify:track:6dOtVTDdiauQNBQEDOtlAB
2025-06-09T14:36:08.923Z,SLAVA FUNK!,MVSTERIOUS,EVOLUTION FUNK VOL. II,2024-11-11,113161,55YYhNqfMTIpPulNc0lLme,spotify:track:55YYhNqfMTIpPulNc0lLme
2025-06-09T14:32:57.835Z,SLAVA FUNK!,MVSTERIOUS,EVOLUTION FUNK VOL. II,2024-11-11,113161,55YYhNqfMTIpPulNc0lLme,spotify:track:55YYhNqfMTIpPulNc0lLme
2025-06-09T14:32:57.434Z,BLUE,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,343120,2prqm9sPLj10B4Wg0wE5x9,spotify:track:2prqm9sPLj10B4Wg0wE5x9
2025-06-09T14:32:56.993Z,Six Feet Under,Billie Eilish,Six Feet Under,2016-11-17,189613,2VlLbhGLVJgdOW7kKdWWFc,spotify:track:2VlLbhGLVJgdOW7kKdWWFc
2025-06-09T14:32:56.954Z,COLLAR!,CHASHKAKEFIRA,COLLAR!,2024-05-11,102209,40GxMXuCa8AA5tNfdsHsU5,spotify:track:40GxMXuCa8AA5tNfdsHsU5
2025-06-09T14:32:56.953Z,PROTECTION CHARM - SLOW & HARD VERSION,Miguel Angeles,PROTECTION CHARM (SLOW & HARD VERSION),2023-10-03,210757,3djuAEm8miwAn93JISOb7V,spotify:track:3djuAEm8miwAn93JISOb7V
2025-06-09T14:32:56.751Z,MONTAGEM BAILÃO,Repsaj,MONTAGEM BAILÃO,2025-04-04,103727,1RnPdd7EKKhKN3E4o4DRsh,spotify:track:1RnPdd7EKKhKN3E4o4DRsh
2025-06-09T14:32:56.515Z,MONTAGEM LADRAO,ATLXS,MONTAGEM LADRAO,2025-02-05,75240,48WnIIBbnttcwUQ77MBoMI,spotify:track:48WnIIBbnttcwUQ77MBoMI
2025-06-09T12:25:27.286Z,pussypodium - Slowed,akiaura,pussypodium (Slowed),2024-10-06,211459,7HIbewxNvNHNfn8QMDh6WS,spotify:track:7HIbewxNvNHNfn8QMDh6WS
2025-06-09T12:25:23.364Z,LUNA BALA - Slowed,Yb Wasg'ood,LUNA BALA,2025-04-18,124110,49t3uvN9hUNefdvtaD6HBj,spotify:track:49t3uvN9hUNefdvtaD6HBj
2025-06-09T12:25:07.937Z,LOS VOLTAJE,Sayfalse,LOS VOLTAJE,2025-04-11,99285,4LkkRLP8pldQer1YRrHwkx,spotify:track:4LkkRLP8pldQer1YRrHwkx
